date,symbol,high,low,close,open
2022-03-04,VN30F2203,1517.50,1510.00,1513.00,1514.80
2022-03-07,VN30F2203,1507.80,1496.00,1504.20,1496.00
2022-03-08,VN30F2203,1499.40,1484.20,1490.30,1498.70
2022-03-09,VN30F2203,1495.80,1486.20,1490.80,1494.00
2022-03-10,VN30F2203,1501.90,1490.00,1490.00,1500.50
2022-03-11,VN30F2203,1487.50,1471.10,1476.00,1486.70
2022-03-14,VN30F2203,1476.00,1456.00,1463.40,1475.20
2022-03-15,VN30F2203,1469.70,1457.90,1464.50,1462.10
2022-03-16,VN30F2203,1475.10,1465.20,1471.80,1471.00
2022-03-17,VN30F2203,1478.80,1468.00,1472.20,1477.50
2022-03-18,VN30F2204,1483.50,1476.00,1478.10,1477.00
2022-03-21,VN30F2204,1496.10,1479.10,1494.90,1479.70
2022-03-22,VN30F2204,1505.50,1494.00,1500.00,1498.10
2022-03-23,VN30F2204,1510.20,1494.80,1497.20,1502.70
2022-03-24,VN30F2204,1499.50,1491.00,1494.00,1495.50
2022-03-25,VN30F2204,1497.10,1488.00,1494.00,1497.10
2022-03-28,VN30F2204,1490.80,1475.50,1483.50,1489.10
2022-03-29,VN30F2204,1493.50,1484.50,1493.40,1485.50
2022-03-30,VN30F2204,1503.90,1486.10,1489.80,1489.40
2022-03-31,VN30F2204,1499.40,1490.00,1496.00,1492.00
2022-04-01,VN30F2204,1528.00,1492.20,1525.00,1493.00
2022-04-04,VN30F2204,1537.30,1526.60,1528.40,1529.40
2022-04-05,VN30F2204,1532.70,1523.50,1525.30,1526.90
2022-04-06,VN30F2204,1550.60,1517.80,1540.30,1519.00
2022-04-07,VN30F2204,1544.50,1529.40,1529.80,1543.00
2022-04-08,VN30F2204,1535.30,1524.50,1523.90,1528.40
2022-04-12,VN30F2204,1526.60,1507.20,1509.40,1525.90
2022-04-13,VN30F2204,1521.20,1511.30,1519.70,1511.40
2022-04-14,VN30F2204,1524.60,1509.00,1512.50,1522.20
2022-04-15,VN30F2204,1517.40,1492.60,1492.60,1511.80
2022-04-18,VN30F2204,1494.40,1471.80,1473.10,1494.10
2022-04-19,VN30F2204,1484.50,1448.00,1454.10,1476.30
2022-04-20,VN30F2204,1458.00,1435.70,1440.00,1456.30
