type,capital_open,capital_close,date_open,date_close
LONG,1008610166.9054431,1009139808.720549,2021-06-10 14:23:00,2021-06-11 09:07:00
LONG,1009139808.720549,1009307987.1537971,2021-06-11 09:12:00,2021-06-11 09:39:00
LONG,1009307987.1537971,1009413720.8902124,2021-06-11 09:55:00,2021-06-11 10:05:00
LONG,1009413720.8902124,1009690263.19444,2021-06-11 10:55:00,2021-06-11 11:00:00
LONG,1009690263.19444,1009916495.7725881,2021-06-11 13:31:00,2021-06-11 14:04:00
LONG,1009916495.7725881,1010290764.5181733,2021-06-14 09:13:00,2021-06-14 09:20:00
LONG,1010290764.5181733,1010468840.029914,2021-06-14 09:53:00,2021-06-14 10:05:00
LONG,1010468840.029914,1010841465.5757506,2021-06-14 10:56:00,2021-06-14 13:08:00
LONG,1010841465.5757506,1010541335.2966989,2021-06-14 13:26:00,2021-06-15 09:36:00
SHORT,1010541335.2966989,1010960404.2256012,2021-06-15 09:37:00,2021-06-15 09:48:00
LONG,1010960404.2256012,1011070644.0877157,2021-06-15 13:45:00,2021-06-15 13:59:00
SHORT,1011070644.0877157,1011307689.3583392,2021-06-17 09:32:00,2021-06-17 10:04:00
LONG,1011307689.3583392,1011364965.7406092,2021-06-17 13:25:00,2021-06-17 14:07:00
LONG,1011364965.7406092,1011599324.7348323,2021-06-18 10:23:00,2021-06-18 10:31:00
LONG,1011599324.7348323,1011765575.672145,2021-06-18 10:44:00,2021-06-18 11:11:00
LONG,1011765575.672145,1012109323.1119039,2021-06-18 11:27:00,2021-06-18 11:29:00
LONG,1012109323.1119039,1012179428.8686494,2021-06-18 13:44:00,2021-06-18 14:11:00
LONG,1012179428.8686494,1012270081.9757466,2021-06-18 14:26:00,2021-06-22 09:11:00
LONG,1012270081.9757466,1012346671.5433819,2021-06-22 11:12:00,2021-06-22 11:22:00
LONG,1012346671.5433819,1012362241.9415667,2021-06-22 13:38:00,2021-06-23 09:06:00
LONG,1012362241.9415667,1011656460.0349793,2021-06-23 10:39:00,2021-06-24 11:04:00
SHORT,1011656460.0349793,1011760195.3331399,2021-06-24 13:30:00,2021-06-24 13:43:00
LONG,1011760195.3331399,1011707976.3271471,2021-06-25 09:46:00,2021-06-25 09:59:00
LONG,1011707976.3271471,1011968610.0494403,2021-06-25 10:28:00,2021-06-25 11:24:00
LONG,1011968610.0494403,1012124513.7033291,2021-06-28 09:48:00,2021-06-28 10:21:00
LONG,1012124513.7033291,1012300587.7522138,2021-06-28 10:41:00,2021-06-28 10:48:00
LONG,1012300587.7522138,1012563583.8062805,2021-06-28 11:05:00,2021-06-28 11:13:00
LONG,1012563583.8062805,1012572250.7318727,2021-06-28 13:25:00,2021-06-28 13:42:00
LONG,1012572250.7318727,1012701108.9966698,2021-06-28 13:45:00,2021-06-28 13:59:00
LONG,1012701108.9966698,1012928689.7346543,2021-06-29 10:39:00,2021-06-29 11:07:00
LONG,1012928689.7346543,1013109227.393659,2021-06-29 13:27:00,2021-06-29 13:46:00
LONG,1013109227.393659,1012793890.9489825,2021-06-29 13:58:00,2021-06-29 14:27:00
LONG,1012793890.9489825,1012874914.4602584,2021-06-30 10:03:00,2021-06-30 10:35:00
LONG,1012874914.4602584,1012692764.0017078,2021-06-30 10:51:00,2021-06-30 13:19:00
LONG,1012692764.0017078,1012819621.7309557,2021-07-01 13:44:00,2021-07-01 14:07:00
LONG,1012819621.7309557,1013071511.2862303,2021-07-01 14:16:00,2021-07-01 14:28:00
LONG,1013071511.2862303,1013203857.9731414,2021-07-02 09:53:00,2021-07-02 10:01:00
LONG,1013203857.9731414,1013218864.5342422,2021-07-02 10:44:00,2021-07-02 10:56:00
LONG,1013218864.5342422,1013508057.2131859,2021-07-02 11:07:00,2021-07-02 11:28:00
LONG,1013508057.2131859,1014012722.0729036,2021-07-02 13:17:00,2021-07-05 09:05:00
LONG,1014012722.0729036,1013409623.2705415,2021-07-05 09:17:00,2021-07-05 13:58:00
SHORT,1013409623.2705415,1013470014.8474761,2021-07-05 14:27:00,2021-07-06 13:36:00
SHORT,1013470014.8474761,1013859399.9922343,2021-07-07 10:00:00,2021-07-07 10:13:00
LONG,1013859399.9922343,1014088456.621267,2021-07-07 13:49:00,2021-07-07 13:59:00
LONG,1014088456.621267,1014123619.6492034,2021-07-08 09:14:00,2021-07-08 10:47:00
LONG,1014123619.6492034,1014536830.254201,2021-07-08 11:02:00,2021-07-08 11:14:00
LONG,1014536830.254201,1013817502.3992103,2021-07-08 13:02:00,2021-07-09 10:39:00
LONG,1013817502.3992103,1014233170.9112173,2021-07-09 11:17:00,2021-07-09 13:06:00
LONG,1014233170.9112173,1009039277.9072152,2021-07-09 13:17:00,2021-07-12 14:25:00
SHORT,1009039277.9072152,1009124872.273548,2021-07-12 14:28:00,2021-07-13 09:17:00
